"","symbol_hs","symbol_mm","symbol_hs_mm"
"39","GABRD","Gabrd","GABRD_Gabrd"
"40","PRKCZ","Prkcz","PRKCZ_Prkcz"
"41","FAAP20","Faap20","FAAP20_Faap20"
"42","SKI","Ski","SKI_Ski"
"43","MORN1","Morn1","MORN1_Morn1"
"44","RER1","Rer1","RER1_Rer1"
"45","PEX10","Pex10","PEX10_Pex10"
"46","PLCH2","Plch2","PLCH2_Plch2"
"47","PANK4","Pank4","PANK4_Pank4"
"48","HES5","Hes5","HES5_Hes5"
"49","PRXL2B","Prxl2b","PRXL2B_Prxl2b"
"50","MMEL1","Mmel1","MMEL1_Mmel1"
"51","TTC34","Ttc34","TTC34_Ttc34"
"52","PRDM16","Prdm16","PRDM16_Prdm16"
"53","ARHGEF16","Arhgef16","ARHGEF16_Arhgef16"
"54","MEGF6","Megf6","MEGF6_Megf6"
"55","TPRG1L","Tprgl","TPRG1L_Tprgl"
"56","WRAP73","Wrap73","WRAP73_Wrap73"
"57","TP73","Trp73","TP73_Trp73"
"58","SMIM1","Smim1","SMIM1_Smim1"
"59","LRRC47","Lrrc47","LRRC47_Lrrc47"
"60","CEP104","Cep104","CEP104_Cep104"
"61","DFFB","Dffb","DFFB_Dffb"
"62","C1orf174","A430005L14Rik","C1orf174_A430005L14Rik"
"63","AJAP1","Ajap1","AJAP1_Ajap1"
"64","NPHP4","Nphp4","NPHP4_Nphp4"
"65","KCNAB2","Kcnab2","KCNAB2_Kcnab2"
"66","CHD5","Chd5","CHD5_Chd5"
"67","RNF207","Rnf207","RNF207_Rnf207"
"68","ICMT","Icmt","ICMT_Icmt"
"69","GPR153","Gpr153","GPR153_Gpr153"
"70","ACOT7","Acot7","ACOT7_Acot7"
"71","HES2","Hes2","HES2_Hes2"
"72","ESPN","Espn","ESPN_Espn"
"73","TNFRSF25","Tnfrsf25","TNFRSF25_Tnfrsf25"
"74","PLEKHG5","Plekhg5","PLEKHG5_Plekhg5"
"75","NOL9","Nol9","NOL9_Nol9"
"76","TAS1R1","Tas1r1","TAS1R1_Tas1r1"
"77","ZBTB48","Zbtb48","ZBTB48_Zbtb48"
"78","KLHL21","Klhl21","KLHL21_Klhl21"
"79","PHF13","Phf13","PHF13_Phf13"
"80","THAP3","Thap3","THAP3_Thap3"
"81","DNAJC11","Dnajc11","DNAJC11_Dnajc11"
"82","CAMTA1","Camta1","CAMTA1_Camta1"
"83","VAMP3","Vamp3","VAMP3_Vamp3"
"84","PER3","Per3","PER3_Per3"
"85","UTS2","Uts2","UTS2_Uts2"
"86","TNFRSF9","Tnfrsf9","TNFRSF9_Tnfrsf9"
"87","PARK7","Park7","PARK7_Park7"
"88","ERRFI1","Errfi1","ERRFI1_Errfi1"
"89","SLC45A1","Slc45a1","SLC45A1_Slc45a1"
"90","RERE","Rere","RERE_Rere"
"91","SLC2A5","Slc2a5","SLC2A5_Slc2a5"
"92","GPR157","Gpr157","GPR157_Gpr157"
"93","H6PD","H6pd","H6PD_H6pd"
"94","SPSB1","Spsb1","SPSB1_Spsb1"
"95","SLC25A33","Slc25a33","SLC25A33_Slc25a33"
"96","TMEM201","Tmem201","TMEM201_Tmem201"
"97","PIK3CD","Pik3cd","PIK3CD_Pik3cd"
"98","CLSTN1","Clstn1","CLSTN1_Clstn1"
"99","CTNNBIP1","Ctnnbip1","CTNNBIP1_Ctnnbip1"
