"","symbol_hs","symbol_mm","symbol_hs_mm"
"4318","F12","F12","F12_F12"
"4319","GRK6","Grk6","GRK6_Grk6"
"4320","PRR7","Prr7","PRR7_Prr7"
"4321","DBN1","Dbn1","DBN1_Dbn1"
"4322","PDLIM7","Pdlim7","PDLIM7_Pdlim7"
"4323","DOK3","Dok3","DOK3_Dok3"
"4324","DDX41","Ddx41","DDX41_Ddx41"
"4325","FAM193B","Fam193b","FAM193B_Fam193b"
"4326","TMED9","Tmed9","TMED9_Tmed9"
"4327","B4GALT7","B4galt7","B4GALT7_B4galt7"
"4328","N4BP3","N4bp3","N4BP3_N4bp3"
"4329","RMND5B","Rmnd5b","RMND5B_Rmnd5b"
"4330","NHP2","Nhp2","NHP2_Nhp2"
"4331","HNRNPAB","Hnrnpab","HNRNPAB_Hnrnpab"
"4332","PHYKPL","Phykpl","PHYKPL_Phykpl"
"4333","COL23A1","Col23a1","COL23A1_Col23a1"
"4334","CLK4","Clk4","CLK4_Clk4"
"4335","ZNF354A","Zfp354a","ZNF354A_Zfp354a"
"4336","ZNF354B","Zfp354b","ZNF354B_Zfp354b"
"4337","ZFP2","Zfp2","ZFP2_Zfp2"
"4338","ZNF454","Zfp454","ZNF454_Zfp454"
"4339","ZNF879","Zfp879","ZNF879_Zfp879"
"4340","ZNF354C","Zfp354c","ZNF354C_Zfp354c"
"4341","ADAMTS2","Adamts2","ADAMTS2_Adamts2"
"4342","RUFY1","Rufy1","RUFY1_Rufy1"
"4343","HNRNPH1","Hnrnph1","HNRNPH1_Hnrnph1"
"4344","CANX","Canx","CANX_Canx"
"4345","MAML1","Maml1","MAML1_Maml1"
"4346","MGAT4B","Mgat4b","MGAT4B_Mgat4b"
"4347","SQSTM1","Sqstm1","SQSTM1_Sqstm1"
"4348","MRNIP","Mrnip","MRNIP_Mrnip"
"4349","TBC1D9B","Tbc1d9b","TBC1D9B_Tbc1d9b"
"4350","RNF130","Rnf130","RNF130_Rnf130"
"4351","MAPK9","Mapk9","MAPK9_Mapk9"
"4352","GFPT2","Gfpt2","GFPT2_Gfpt2"
"4353","CNOT6","Cnot6","CNOT6_Cnot6"
"4354","SCGB3A1","Scgb3a1","SCGB3A1_Scgb3a1"
"4355","FLT4","Flt4","FLT4_Flt4"
"4356","MGAT1","Mgat1","MGAT1_Mgat1"
"4357","ZFP62","Zfp62","ZFP62_Zfp62"
"4358","BTNL9","Btnl9","BTNL9_Btnl9"
"4359","TRIM7","Trim7","TRIM7_Trim7"
"4360","RACK1","Rack1","RACK1_Rack1"
"4361","TRIM52","Trim41","TRIM52_Trim41"
"4362","DUSP22","Dusp22","DUSP22_Dusp22"
"4363","IRF4","Irf4","IRF4_Irf4"
"4364","EXOC2","Exoc2","EXOC2_Exoc2"
"4365","HUS1B","Hus1b","HUS1B_Hus1b"
"4366","FOXQ1","Foxq1","FOXQ1_Foxq1"
"4367","FOXF2","Foxf2","FOXF2_Foxf2"
"4368","FOXC1","Foxc1","FOXC1_Foxc1"
"4369","GMDS","Gmds","GMDS_Gmds"
"4370","MYLK4","Mylk4","MYLK4_Mylk4"
"4371","WRNIP1","Wrnip1","WRNIP1_Wrnip1"
"4372","NQO2","Nqo2","NQO2_Nqo2"
"4373","RIPK1","Ripk1","RIPK1_Ripk1"
"4374","BPHL","Bphl","BPHL_Bphl"
"4375","TUBB2A","Tubb2a","TUBB2A_Tubb2a"
"4376","TUBB2B","Tubb2b","TUBB2B_Tubb2b"
"4377","PSMG4","Psmg4","PSMG4_Psmg4"
"4378","SLC22A23","Slc22a23","SLC22A23_Slc22a23"
"4379","PXDC1","Pxdc1","PXDC1_Pxdc1"
"4380","FAM50B","Fam50b","FAM50B_Fam50b"
"4381","PRPF4B","Prpf4b","PRPF4B_Prpf4b"
"4382","CDYL","Cdyl","CDYL_Cdyl"
"4383","RPP40","Rpp40","RPP40_Rpp40"
"4384","PPP1R3G","Ppp1r3g","PPP1R3G_Ppp1r3g"
"4385","LYRM4","Lyrm4","LYRM4_Lyrm4"
"4386","FARS2","Fars2","FARS2_Fars2"
"4387","NRN1","Nrn1","NRN1_Nrn1"
"4388","F13A1","F13a1","F13A1_F13a1"
"4389","LY86","Ly86","LY86_Ly86"
"4390","RREB1","Rreb1","RREB1_Rreb1"
"4391","SSR1","Ssr1","SSR1_Ssr1"
"4392","RIOK1","Riok1","RIOK1_Riok1"
"4393","DSP","Dsp","DSP_Dsp"
"4394","SNRNP48","Snrnp48","SNRNP48_Snrnp48"
"4395","BMP6","Bmp6","BMP6_Bmp6"
"4396","TXNDC5","Txndc5","TXNDC5_Txndc5"
"4397","BLOC1S5","Bloc1s5","BLOC1S5_Bloc1s5"
"4398","EEF1E1","Eef1e1","EEF1E1_Eef1e1"
"4399","SLC35B3","Slc35b3","SLC35B3_Slc35b3"
"4400","TFAP2A","Tfap2a","TFAP2A_Tfap2a"
"4401","GCNT2","Gcnt2","GCNT2_Gcnt2"
"4402","PAK1IP1","Pak1ip1","PAK1IP1_Pak1ip1"
"4403","TMEM14C","Tmem14c","TMEM14C_Tmem14c"
"4404","MAK","Mak","MAK_Mak"
"4405","SYCP2L","Sycp2l","SYCP2L_Sycp2l"
"4406","ELOVL2","Elovl2","ELOVL2_Elovl2"
"4407","SMIM13","Smim13","SMIM13_Smim13"
"4408","NEDD9","Nedd9","NEDD9_Nedd9"
"4409","TMEM170B","Tmem170b","TMEM170B_Tmem170b"
"4410","ADTRP","Adtrp","ADTRP_Adtrp"
"4411","HIVEP1","Hivep1","HIVEP1_Hivep1"
"4412","EDN1","Edn1","EDN1_Edn1"
"4413","PHACTR1","Phactr1","PHACTR1_Phactr1"
"4414","TBC1D7","Tbc1d7","TBC1D7_Tbc1d7"
"4415","GFOD1","Gfod1","GFOD1_Gfod1"
"4416","SIRT5","Sirt5","SIRT5_Sirt5"
"4417","NOL7","Nol7","NOL7_Nol7"
"4418","RANBP9","Ranbp9","RANBP9_Ranbp9"
"4419","MCUR1","Mcur1","MCUR1_Mcur1"
"4420","RNF182","Rnf182","RNF182_Rnf182"
"4421","CD83","Cd83","CD83_Cd83"
"4422","JARID2","Jarid2","JARID2_Jarid2"
"4423","DTNBP1","Dtnbp1","DTNBP1_Dtnbp1"
"4424","MYLIP","Mylip","MYLIP_Mylip"
"4425","GMPR","Gmpr","GMPR_Gmpr"
"4426","ATXN1","Atxn1","ATXN1_Atxn1"
"4427","STMND1","Stmnd1","STMND1_Stmnd1"
"4428","RBM24","Rbm24","RBM24_Rbm24"
"4429","CAP2","Cap2","CAP2_Cap2"
"4430","FAM8A1","Fam8a1","FAM8A1_Fam8a1"
"4431","NUP153","Nup153","NUP153_Nup153"
"4432","KIF13A","Kif13a","KIF13A_Kif13a"
"4433","NHLRC1","Nhlrc1","NHLRC1_Nhlrc1"
"4434","TPMT","Tpmt","TPMT_Tpmt"
"4435","KDM1B","Kdm1b","KDM1B_Kdm1b"
"4436","DEK","Dek","DEK_Dek"
"4437","RNF144B","Rnf144b","RNF144B_Rnf144b"
"4438","ID4","Id4","ID4_Id4"
"4439","MBOAT1","Mboat1","MBOAT1_Mboat1"
"4440","E2F3","E2f3","E2F3_E2f3"
"4441","CDKAL1","Cdkal1","CDKAL1_Cdkal1"
"4442","SOX4","Sox4","SOX4_Sox4"
"4443","DCDC2","Dcdc2a","DCDC2_Dcdc2a"
"4444","MRS2","Mrs2","MRS2_Mrs2"
"4445","GPLD1","Gpld1","GPLD1_Gpld1"
"4446","ALDH5A1","Aldh5a1","ALDH5A1_Aldh5a1"
"4447","KIAA0319","D130043K22Rik","KIAA0319_D130043K22Rik"
"4448","TDP2","Tdp2","TDP2_Tdp2"
"4449","ACOT13","Acot13","ACOT13_Acot13"
"4450","C6orf62","BC005537","C6orf62_BC005537"
"4451","GMNN","Gmnn","GMNN_Gmnn"
"4452","ARMH2","Armh2","ARMH2_Armh2"
"4453","RIPOR2","Ripor2","RIPOR2_Ripor2"
"4454","CARMIL1","Carmil1","CARMIL1_Carmil1"
"4455","TRIM38","Trim38","TRIM38_Trim38"
"4456","HFE","Hfe","HFE_Hfe"
"4457","HIST1H1E","H1f4","HIST1H1E_H1f4"
"4458","HIST1H2BD","H2bc14","HIST1H2BD_H2bc14"
"4459","BTN2A2","Btn2a2","BTN2A2_Btn2a2"
"4460","BTN3A1","Gm36028","BTN3A1_Gm36028"
"4461","ABT1","Abt1","ABT1_Abt1"
"4462","ZNF322","Zfp322a","ZNF322_Zfp322a"
"4463","HIST1H2BJ","H2bc21","HIST1H2BJ_H2bc21"
"4464","PRSS16","Prss16","PRSS16_Prss16"
"4465","ZKSCAN8","Zkscan8","ZKSCAN8_Zkscan8"
"4466","NKAPL","Nkapl","NKAPL_Nkapl"
"4467","ZSCAN26","Zscan26","ZSCAN26_Zscan26"
"4468","PGBD1","Pgbd1","PGBD1_Pgbd1"
"4469","ZSCAN12","Zscan12","ZSCAN12_Zscan12"
"4470","ZBED9","Chchd2l","ZBED9_Chchd2l"
"4471","TRIM27","Trim27","TRIM27_Trim27"
"4472","UBD","Ubd","UBD_Ubd"
"4473","GABBR1","Gabbr1","GABBR1_Gabbr1"
"4474","ZFP57","Zfp57","ZFP57_Zfp57"
"4475","ZNRD1","Polr1h","ZNRD1_Polr1h"
"4476","PPP1R11","Ppp1r11","PPP1R11_Ppp1r11"
"4477","RNF39","Rnf39","RNF39_Rnf39"
"4478","TRIM31","Trim31","TRIM31_Trim31"
"4479","TRIM26","Trim26","TRIM26_Trim26"
"4480","TRIM39","Trim39","TRIM39_Trim39"
"4481","RPP21","Rpp21","RPP21_Rpp21"
"4482","GNL1","Gnl1","GNL1_Gnl1"
"4483","PRR3","Prr3","PRR3_Prr3"
"4484","ABCF1","Abcf1","ABCF1_Abcf1"
"4485","PPP1R10","Ppp1r10","PPP1R10_Ppp1r10"
"4486","MRPS18B","Mrps18b","MRPS18B_Mrps18b"
"4487","ATAT1","Atat1","ATAT1_Atat1"
"4488","C6orf136","2310061I04Rik","C6orf136_2310061I04Rik"
"4489","DHX16","Dhx16","DHX16_Dhx16"
"4490","PPP1R18","Ppp1r18","PPP1R18_Ppp1r18"
"4491","NRM","Nrm","NRM_Nrm"
"4492","MDC1","Mdc1","MDC1_Mdc1"
"4493","TUBB","Tubb5","TUBB_Tubb5"
"4494","FLOT1","Flot1","FLOT1_Flot1"
"4495","IER3","Ier3","IER3_Ier3"
"4496","DDR1","Ddr1","DDR1_Ddr1"
"4497","GTF2H4","Gtf2h4","GTF2H4_Gtf2h4"
"4498","VARS2","Vars2","VARS2_Vars2"
"4499","MUCL3","Mucl3","MUCL3_Mucl3"
"4500","CCHCR1","Cchcr1","CCHCR1_Cchcr1"
"4501","TCF19","Tcf19","TCF19_Tcf19"
"4502","DDX39B","Ddx39b","DDX39B_Ddx39b"
"4503","ATP6V1G2","Atp6v1g2","ATP6V1G2_Atp6v1g2"
"4504","NFKBIL1","Nfkbil1","NFKBIL1_Nfkbil1"
"4505","LTA","Lta","LTA_Lta"
"4506","TNF","Tnf","TNF_Tnf"
"4507","LTB","Ltb","LTB_Ltb"
"4508","LST1","Lst1","LST1_Lst1"
"4509","AIF1","Aif1","AIF1_Aif1"
"4510","PRRC2A","Prrc2a","PRRC2A_Prrc2a"
"4511","BAG6","Bag6","BAG6_Bag6"
"4512","APOM","Apom","APOM_Apom"
"4513","C6orf47","D17H6S53E","C6orf47_D17H6S53E"
"4514","GPANK1","Gpank1","GPANK1_Gpank1"
"4515","CSNK2B","Csnk2b","CSNK2B_Csnk2b"
"4516","LY6G5B","Ly6g5b","LY6G5B_Ly6g5b"
"4517","LY6G5C","Ly6g5c","LY6G5C_Ly6g5c"
"4518","ABHD16A","Abhd16a","ABHD16A_Abhd16a"
"4519","MPIG6B","Mpig6b","MPIG6B_Mpig6b"
"4520","DDAH2","Ddah2","DDAH2_Ddah2"
"4521","CLIC1","Clic1","CLIC1_Clic1"
"4522","MSH5","Msh5","MSH5_Msh5"
"4523","SAPCD1","Sapcd1","SAPCD1_Sapcd1"
"4524","VWA7","Vwa7","VWA7_Vwa7"
"4525","VARS","Vars","VARS_Vars"
"4526","LSM2","Lsm2","LSM2_Lsm2"
"4527","HSPA1L","Hspa1l","HSPA1L_Hspa1l"
"4528","NEU1","Neu1","NEU1_Neu1"
"4529","SLC44A4","Slc44a4","SLC44A4_Slc44a4"
"4530","EHMT2","Ehmt2","EHMT2_Ehmt2"
"4531","C2","C2","C2_C2"
"4532","CFB","Cfb","CFB_Cfb"
"4533","NELFE","Nelfe","NELFE_Nelfe"
"4534","SKIV2L","Skiv2l","SKIV2L_Skiv2l"
"4535","DXO","Dxo","DXO_Dxo"
"4536","STK19","Stk19","STK19_Stk19"
"4537","CYP21A2","Cyp21a1","CYP21A2_Cyp21a1"
"4538","TNXB","Tnxb","TNXB_Tnxb"
"4539","ATF6B","Atf6b","ATF6B_Atf6b"
"4540","PRRT1","Prrt1","PRRT1_Prrt1"
"4541","PPT2","Ppt2","PPT2_Ppt2"
"4542","EGFL8","Egfl8","EGFL8_Egfl8"
"4543","AGPAT1","Agpat1","AGPAT1_Agpat1"
"4544","RNF5","Rnf5","RNF5_Rnf5"
"4545","AGER","Ager","AGER_Ager"
"4546","PBX2","Pbx2","PBX2_Pbx2"
"4547","GPSM3","Gpsm3","GPSM3_Gpsm3"
"4548","HLA-DRA","H2-Ea","HLA-DRA_H2-Ea"
"4549","HLA-DOB","H2-Ob","HLA-DOB_H2-Ob"
"4550","TAP2","Tap2","TAP2_Tap2"
"4551","PSMB8","Psmb8","PSMB8_Psmb8"
"4552","PSMB9","Psmb9","PSMB9_Psmb9"
"4553","TAP1","Tap1","TAP1_Tap1"
"4554","HLA-DMA","H2-DMa","HLA-DMA_H2-DMa"
"4555","BRD2","Brd2","BRD2_Brd2"
"4556","HLA-DOA","H2-Oa","HLA-DOA_H2-Oa"
"4557","COL11A2","Col11a2","COL11A2_Col11a2"
"4558","RXRB","Rxrb","RXRB_Rxrb"
"4559","SLC39A7","Slc39a7","SLC39A7_Slc39a7"
"4560","HSD17B8","H2-Ke6","HSD17B8_H2-Ke6"
"4561","RING1","Ring1","RING1_Ring1"
"4562","VPS52","Vps52","VPS52_Vps52"
"4563","B3GALT4","B3galt4","B3GALT4_B3galt4"
"4564","WDR46","Wdr46","WDR46_Wdr46"
"4565","PFDN6","Pfdn6","PFDN6_Pfdn6"
"4566","RGL2","Rgl2","RGL2_Rgl2"
"4567","TAPBP","Tapbp","TAPBP_Tapbp"
"4568","ZBTB22","Zbtb22","ZBTB22_Zbtb22"
"4569","DAXX","Daxx","DAXX_Daxx"
"4570","PHF1","Phf1","PHF1_Phf1"
"4571","CUTA","Cuta","CUTA_Cuta"
"4572","SYNGAP1","Syngap1","SYNGAP1_Syngap1"
"4573","ZBTB9","Zbtb9","ZBTB9_Zbtb9"
"4574","BAK1","Bak1","BAK1_Bak1"
"4575","ITPR3","Itpr3","ITPR3_Itpr3"
"4576","UQCC2","Uqcc2","UQCC2_Uqcc2"
"4577","IP6K3","Ip6k3","IP6K3_Ip6k3"
"4578","LEMD2","Lemd2","LEMD2_Lemd2"
"4579","HMGA1","Hmga1","HMGA1_Hmga1"
"4580","SMIM29","AI413582","SMIM29_AI413582"
"4581","NUDT3","Nudt3","NUDT3_Nudt3"
"4582","PACSIN1","Pacsin1","PACSIN1_Pacsin1"
"4583","SPDEF","Spdef","SPDEF_Spdef"
"4584","ILRUN","Ilrun","ILRUN_Ilrun"
"4585","SNRPC","Snrpc","SNRPC_Snrpc"
"4586","UHRF1BP1","Uhrf1bp1","UHRF1BP1_Uhrf1bp1"
"4587","TAF11","Taf11","TAF11_Taf11"
"4588","ANKS1A","Anks1","ANKS1A_Anks1"
"4589","TCP11","Tcp11","TCP11_Tcp11"
"4590","SCUBE3","Scube3","SCUBE3_Scube3"
"4591","ZNF76","Zfp523","ZNF76_Zfp523"
"4592","DEF6","Def6","DEF6_Def6"
"4593","PPARD","Ppard","PPARD_Ppard"
"4594","FANCE","Fance","FANCE_Fance"
"4595","TEAD3","Tead3","TEAD3_Tead3"
"4596","FKBP5","Fkbp5","FKBP5_Fkbp5"
"4597","ARMC12","Armc12","ARMC12_Armc12"
"4598","SRPK1","Srpk1","SRPK1_Srpk1"
"4599","SLC26A8","Slc26a8","SLC26A8_Slc26a8"
"4600","MAPK14","Mapk14","MAPK14_Mapk14"
"4601","MAPK13","Mapk13","MAPK13_Mapk13"
"4602","BRPF3","Brpf3","BRPF3_Brpf3"
"4603","KCTD20","Kctd20","KCTD20_Kctd20"
"4604","STK38","Stk38","STK38_Stk38"
"4605","SRSF3","Srsf3","SRSF3_Srsf3"
"4606","CDKN1A","Cdkn1a","CDKN1A_Cdkn1a"
"4607","RAB44","Rab44","RAB44_Rab44"
"4608","CPNE5","Cpne5","CPNE5_Cpne5"
"4609","PPIL1","Ppil1","PPIL1_Ppil1"
"4610","C6orf89","BC004004","C6orf89_BC004004"
"4611","PI16","Pi16","PI16_Pi16"
"4612","MTCH1","Mtch1","MTCH1_Mtch1"
"4613","FGD2","Fgd2","FGD2_Fgd2"
"4614","PIM1","Pim1","PIM1_Pim1"
"4615","TMEM217","Tmem217","TMEM217_Tmem217"
"4616","TBC1D22B","Tbc1d22b","TBC1D22B_Tbc1d22b"
"4617","RNF8","Rnf8","RNF8_Rnf8"
"4618","CMTR1","Cmtr1","CMTR1_Cmtr1"
"4619","CCDC167","Ccdc167","CCDC167_Ccdc167"
"4620","MDGA1","Mdga1","MDGA1_Mdga1"
"4621","ZFAND3","Zfand3","ZFAND3_Zfand3"
"4622","BTBD9","Btbd9","BTBD9_Btbd9"
"4623","GLO1","Glo1","GLO1_Glo1"
"4624","GLP1R","Glp1r","GLP1R_Glp1r"
"4625","SAYSD1","Saysd1","SAYSD1_Saysd1"
"4626","KCNK5","Kcnk5","KCNK5_Kcnk5"
"4627","KIF6","Kif6","KIF6_Kif6"
"4628","DAAM2","Daam2","DAAM2_Daam2"
"4629","MOCS1","Mocs1","MOCS1_Mocs1"
"4630","UNC5CL","Unc5cl","UNC5CL_Unc5cl"
"4631","OARD1","Oard1","OARD1_Oard1"
"4632","NFYA","Nfya","NFYA_Nfya"
"4633","TREML1","Treml1","TREML1_Treml1"
"4634","TREM2","Trem2","TREM2_Trem2"
"4635","TREML2","Treml2","TREML2_Treml2"
"4636","TREM1","Trem1","TREM1_Trem1"
"4637","FOXP4","Foxp4","FOXP4_Foxp4"
"4638","MDFI","Mdfi","MDFI_Mdfi"
"4639","TFEB","Tfeb","TFEB_Tfeb"
"4640","PGC","Pgc","PGC_Pgc"
"4641","FRS3","Frs3","FRS3_Frs3"
"4642","PRICKLE4","Prickle4","PRICKLE4_Prickle4"
"4643","TOMM6","Tomm6","TOMM6_Tomm6"
"4644","USP49","Usp49","USP49_Usp49"
"4645","MED20","Med20","MED20_Med20"
"4646","BYSL","Bysl","BYSL_Bysl"
"4647","CCND3","Ccnd3","CCND3_Ccnd3"
"4648","TAF8","Taf8","TAF8_Taf8"
"4649","C6orf132","AI661453","C6orf132_AI661453"
"4650","GUCA1B","Guca1b","GUCA1B_Guca1b"
"4651","MRPS10","Mrps10","MRPS10_Mrps10"
"4652","TRERF1","Trerf1","TRERF1_Trerf1"
"4653","UBR2","Ubr2","UBR2_Ubr2"
"4654","PRPH2","Prph2","PRPH2_Prph2"
"4655","TBCC","Tbcc","TBCC_Tbcc"
"4656","BICRAL","Bicral","BICRAL_Bicral"
"4657","C6orf226","2310039H08Rik","C6orf226_2310039H08Rik"
"4658","PTCRA","Ptcra","PTCRA_Ptcra"
"4659","CNPY3","Cnpy3","CNPY3_Cnpy3"
"4660","GNMT","Gnmt","GNMT_Gnmt"
"4661","PEX6","Pex6","PEX6_Pex6"
"4662","PPP2R5D","Ppp2r5d","PPP2R5D_Ppp2r5d"
"4663","MEA1","Mea1","MEA1_Mea1"
"4664","KLHDC3","Klhdc3","KLHDC3_Klhdc3"
"4665","RRP36","Rrp36","RRP36_Rrp36"
"4666","CUL7","Cul7","CUL7_Cul7"
"4667","KLC4","Klc4","KLC4_Klc4"
"4668","MRPL2","Mrpl2","MRPL2_Mrpl2"
"4669","PTK7","Ptk7","PTK7_Ptk7"
"4670","SRF","Srf","SRF_Srf"
"4671","CUL9","Cul9","CUL9_Cul9"
"4672","DNPH1","Dnph1","DNPH1_Dnph1"
"4673","CRIP3","Crip3","CRIP3_Crip3"
"4674","ZNF318","Zfp318","ZNF318_Zfp318"
"4675","ABCC10","Abcc10","ABCC10_Abcc10"
"4676","DLK2","Dlk2","DLK2_Dlk2"
"4677","TJAP1","Tjap1","TJAP1_Tjap1"
"4678","LRRC73","Lrrc73","LRRC73_Lrrc73"
"4679","POLR1C","Polr1c","POLR1C_Polr1c"
"4680","YIPF3","Yipf3","YIPF3_Yipf3"
"4681","XPO5","Xpo5","XPO5_Xpo5"
"4682","POLH","Polh","POLH_Polh"
"4683","GTPBP2","Gtpbp2","GTPBP2_Gtpbp2"
"4684","MAD2L1BP","Mad2l1bp","MAD2L1BP_Mad2l1bp"
"4685","RSPH9","Rsph9","RSPH9_Rsph9"
"4686","MRPS18A","Mrps18a","MRPS18A_Mrps18a"
"4687","VEGFA","Vegfa","VEGFA_Vegfa"
"4688","MRPL14","Mrpl14","MRPL14_Mrpl14"
"4689","TMEM63B","Tmem63b","TMEM63B_Tmem63b"
"4690","CAPN11","Capn11","CAPN11_Capn11"
"4691","MYMX","Mymx","MYMX_Mymx"
"4692","SLC29A1","Slc29a1","SLC29A1_Slc29a1"
"4693","HSP90AB1","Hsp90ab1","HSP90AB1_Hsp90ab1"
"4694","SLC35B2","Slc35b2","SLC35B2_Slc35b2"
"4695","NFKBIE","Nfkbie","NFKBIE_Nfkbie"
"4696","TCTE1","Tcte1","TCTE1_Tcte1"
"4697","AARS2","Aars2","AARS2_Aars2"
"4698","SPATS1","Spats1","SPATS1_Spats1"
"4699","SUPT3H","Supt3","SUPT3H_Supt3"
"4700","RUNX2","Runx2","RUNX2_Runx2"
"4701","CLIC5","Clic5","CLIC5_Clic5"
"4702","ENPP4","Enpp4","ENPP4_Enpp4"
"4703","ENPP5","Enpp5","ENPP5_Enpp5"
"4704","RCAN2","Rcan2","RCAN2_Rcan2"
"4705","CYP39A1","Cyp39a1","CYP39A1_Cyp39a1"
"4706","SLC25A27","Slc25a27","SLC25A27_Slc25a27"
"4707","TDRD6","Tdrd6","TDRD6_Tdrd6"
"4708","PLA2G7","Pla2g7","PLA2G7_Pla2g7"
"4709","ANKRD66","Ankrd66","ANKRD66_Ankrd66"
"4710","ADGRF5","Adgrf5","ADGRF5_Adgrf5"
"4711","ADGRF1","Adgrf1","ADGRF1_Adgrf1"
"4712","TNFRSF21","Tnfrsf21","TNFRSF21_Tnfrsf21"
"4713","CD2AP","Cd2ap","CD2AP_Cd2ap"
"4714","ADGRF4","Adgrf4","ADGRF4_Adgrf4"
"4715","PTCHD4","Ptchd4","PTCHD4_Ptchd4"
"4716","MMUT","Mmut","MMUT_Mmut"
"4717","CENPQ","Cenpq","CENPQ_Cenpq"
"4718","C6orf141","9130008F23Rik","C6orf141_9130008F23Rik"
"4719","CRISP2","Crisp2","CRISP2_Crisp2"
"4720","MCM3","Mcm3","MCM3_Mcm3"
"4721","PAQR8","Paqr8","PAQR8_Paqr8"
"4722","EFHC1","Efhc1","EFHC1_Efhc1"
"4723","TRAM2","Tram2","TRAM2_Tram2"
"4724","TMEM14A","Tmem14a","TMEM14A_Tmem14a"
"4725","ICK","Cilk1","ICK_Cilk1"
"4726","FBXO9","Fbxo9","FBXO9_Fbxo9"
"4727","ELOVL5","Elovl5","ELOVL5_Elovl5"
"4728","GCLC","Gclc","GCLC_Gclc"
"4729","LRRC1","Lrrc1","LRRC1_Lrrc1"
"4730","HCRTR2","Hcrtr2","HCRTR2_Hcrtr2"
"4731","HMGCLL1","Hmgcll1","HMGCLL1_Hmgcll1"
"4732","BMP5","Bmp5","BMP5_Bmp5"
"4733","DST","Dst","DST_Dst"
"4734","BEND6","Bend6","BEND6_Bend6"
"4735","ZNF451","Zfp451","ZNF451_Zfp451"
"4736","BAG2","Bag2","BAG2_Bag2"
"4737","RAB23","Rab23","RAB23_Rab23"
"4738","PRIM2","Prim2","PRIM2_Prim2"
"4739","KHDRBS2","Khdrbs2","KHDRBS2_Khdrbs2"
"4740","LGSN","Lgsn","LGSN_Lgsn"
"4741","PHF3","Phf3","PHF3_Phf3"
"4742","ADGRB3","Adgrb3","ADGRB3_Adgrb3"
"4743","LMBRD1","Lmbrd1","LMBRD1_Lmbrd1"
"4744","FAM135A","Fam135a","FAM135A_Fam135a"
"4745","SDHAF4","Sdhaf4","SDHAF4_Sdhaf4"
"4746","SMAP1","Smap1","SMAP1_Smap1"
"4747","B3GAT2","B3gat2","B3GAT2_B3gat2"
"4748","OGFRL1","Ogfrl1","OGFRL1_Ogfrl1"
"4749","RIMS1","Rims1","RIMS1_Rims1"
"4750","KCNQ5","Kcnq5","KCNQ5_Kcnq5"
"4751","CGAS","Cgas","CGAS_Cgas"
"4752","MTO1","Mto1","MTO1_Mto1"
"4753","SLC17A5","Slc17a5","SLC17A5_Slc17a5"
"4754","CD109","Cd109","CD109_Cd109"
"4755","COL12A1","Col12a1","COL12A1_Col12a1"
"4756","COX7A2","Cox7a2","COX7A2_Cox7a2"
"4757","TMEM30A","Tmem30a","TMEM30A_Tmem30a"
"4758","FILIP1","Filip1","FILIP1_Filip1"
"4759","SENP6","Senp6","SENP6_Senp6"
"4760","MYO6","Myo6","MYO6_Myo6"
"4761","IRAK1BP1","Irak1bp1","IRAK1BP1_Irak1bp1"
"4762","PHIP","Phip","PHIP_Phip"
"4763","HMGN3","Hmgn3","HMGN3_Hmgn3"
"4764","LCA5","Lca5","LCA5_Lca5"
"4765","SH3BGRL2","Sh3bgrl2","SH3BGRL2_Sh3bgrl2"
"4766","ELOVL4","Elovl4","ELOVL4_Elovl4"
"4767","TTK","Ttk","TTK_Ttk"
"4768","BCKDHB","Bckdhb","BCKDHB_Bckdhb"
"4769","TENT5A","Tent5a","TENT5A_Tent5a"
"4770","IBTK","Ibtk","IBTK_Ibtk"
"4771","TPBG","Tpbg","TPBG_Tpbg"
"4772","UBE3D","Ube2cbp","UBE3D_Ube2cbp"
"4773","DOP1A","Dop1a","DOP1A_Dop1a"
"4774","PGM3","Pgm3","PGM3_Pgm3"
"4775","RWDD2A","Rwdd2a","RWDD2A_Rwdd2a"
"4776","ME1","Me1","ME1_Me1"
"4777","PRSS35","Prss35","PRSS35_Prss35"
"4778","CYB5R4","Cyb5r4","CYB5R4_Cyb5r4"
"4779","MRAP2","Mrap2","MRAP2_Mrap2"
"4780","CEP162","Cep162","CEP162_Cep162"
"4781","NT5E","Nt5e","NT5E_Nt5e"
"4782","SNX14","Snx14","SNX14_Snx14"
"4783","SYNCRIP","Syncrip","SYNCRIP_Syncrip"
"4784","ZNF292","Zfp292","ZNF292_Zfp292"
"4785","SMIM8","Smim8","SMIM8_Smim8"
"4786","C6orf163","Gm136","C6orf163_Gm136"
"4787","CFAP206","Cfap206","CFAP206_Cfap206"
"4788","SLC35A1","Slc35a1","SLC35A1_Slc35a1"
"4789","RARS2","Rars2","RARS2_Rars2"
"4790","ORC3","Orc3","ORC3_Orc3"
"4791","AKIRIN2","Akirin2","AKIRIN2_Akirin2"
"4792","CNR1","Cnr1","CNR1_Cnr1"
"4793","RNGTT","Rngtt","RNGTT_Rngtt"
"4794","PNRC1","Pnrc1","PNRC1_Pnrc1"
"4795","SRSF12","Srsf12","SRSF12_Srsf12"
"4796","PM20D2","Pm20d2","PM20D2_Pm20d2"
"4797","GABRR2","Gabrr2","GABRR2_Gabrr2"
