"symbol_mm","symbol_hs"
"Clasp1","CLASP1"
"Tfcp2l1","TFCP2L1"
"Gli2","GLI2"
"Inhbb","INHBB"
"Ralb","RALB"
"Tmem185b","TMEM185B"
"Epb41l5","EPB41L5"
"Ptpn4","PTPN4"
"Tmem177","TMEM177"
"Cfap221","CFAP221"
"Tmem37","TMEM37"
"Dbi","DBI"
"Steap3","STEAP3"
"Marco","MARCO"
"Insig2","INSIG2"
"Ccdc93","CCDC93"
"Ddx18","DDX18"
"Actr3","ACTR3"
"Slc35f5","SLC35F5"
"Gpr39","GPR39"
"Lypd1","LYPD1"
"Nckap5","NCKAP5"
"Mgat5","MGAT5"
"Tmem163","TMEM163"
"Ccnt2","CCNT2"
"Map3k19","MAP3K19"
"Rab3gap1","RAB3GAP1"
"Zranb3","ZRANB3"
"R3hdm1","R3HDM1"
"Ubxn4","UBXN4"
"Lct","LCT"
"Mcm6","MCM6"
"Dars","DARS1"
"Cxcr4","CXCR4"
"C4bp","C4BPA"
"Pfkfb2","PFKFB2"
"Yod1","YOD1"
"AA986860","C1orf116"
"Fcamr","FCAMR"
"Pigr","PIGR"
"Fcmr","FCMR"
"Il24","IL24"
"Il10","IL10"
"Mapkapk2","MAPKAPK2"
"Dyrk3","DYRK3"
"Eif2d","EIF2D"
"Rassf5","RASSF5"
"Ikbke","IKBKE"
"Ctse","CTSE"
"Rab7b","RAB7B"
"Slc26a9","SLC26A9"
"Pm20d1","PM20D1"
"Slc41a1","SLC41A1"
"Rab29","RAB29"
"Nucks1","NUCKS1"
"Slc45a3","SLC45A3"
"Elk4","ELK4"
"Mfsd4a","MFSD4A"
"Cdk18","CDK18"
"Lemd1","LEMD1"
"Klhdc8a","KLHDC8A"
"Nuak2","NUAK2"
"Tmcc2","TMCC2"
"Dstyk","DSTYK"
"Rbbp5","RBBP5"
"Tmem81","TMEM81"
"Nfasc","NFASC"
"Lrrn2","LRRN2"
"Mdm4","MDM4"
"Pik3c2b","PIK3C2B"
"Ppp1r15b","PPP1R15B"
"Plekha6","PLEKHA6"
"Etnk2","ETNK2"
"Sox13","SOX13"
"Snrpe","SNRPE"
"Lax1","LAX1"
"Atp2b4","ATP2B4"
"Optc","OPTC"
"Prelp","PRELP"
"Fmod","FMOD"
"Btg2","BTG2"
"Chil1","CHI3L1"
"Mybph","MYBPH"
"Adora1","ADORA1"
"Ppfia4","PPFIA4"
"Tmem183a","TMEM183A"
"Cyb5r1","CYB5R1"
"Adipor1","ADIPOR1"
"Klhl12","KLHL12"
"Rabif","RABIF"
"Kdm5b","KDM5B"
"Syt2","SYT2"
"Ppp1r12b","PPP1R12B"
"Ube2t","UBE2T"
"Lgr6","LGR6"
"Ptpn7","PTPN7"
"Arl8a","ARL8A"
"Gpr37l1","GPR37L1"
"Elf3","ELF3"
"Rnpep","RNPEP"
"Timm17a","TIMM17A"
"Lmod1","LMOD1"
"Shisa4","SHISA4"
"Ipo9","IPO9"
"Nav1","NAV1"
"Csrp1","CSRP1"
"Phlda3","PHLDA3"
"Tnni1","TNNI1"
"Lad1","LAD1"
"Tnnt2","TNNT2"
"Pkp1","PKP1"
"Tmem9","TMEM9"
"Cacna1s","CACNA1S"
"Kif21b","KIF21B"
"Inava","INAVA"
"Camsap2","CAMSAP2"
"Ddx59","DDX59"
"Kif14","KIF14"
"Zfp281","ZNF281"
"Nr5a2","NR5A2"
"Ptprc","PTPRC"
"Atp6v1g3","ATP6V1G3"
"Nek7","NEK7"
"2310009B15Rik","C1orf53"
"Dennd1b","DENND1B"
"Crb1","CRB1"
"Zbtb41","ZBTB41"
"Aspm","ASPM"
"Kcnt2","KCNT2"
"Cdc73","CDC73"
"B3galt2","B3GALT2"
"Ro60","RO60"
"Uchl5","UCHL5"
"Rgs2","RGS2"
"Rgs1","RGS1"
"Rgs18","RGS18"
"Pla2g4a","PLA2G4A"
"Ptgs2","PTGS2"
"Odr4","ODR4"
"Tpr","TPR"
"Prg4","PRG4"
"Hmcn1","HMCN1"
"Ivns1abp","IVNS1ABP"
"Swt1","SWT1"
"Trmt1l","TRMT1L"
"Rnf2","RNF2"
"Edem3","EDEM3"
"1700025G04Rik","C1orf21"
"Tsen15","TSEN15"
"Colgalt2","COLGALT2"
"Rgl1","RGL1"
"Apobec4","APOBEC4"
"Arpc5","ARPC5"
"Ncf2","NCF2"
"Smg7","SMG7"
"Nmnat2","NMNAT2"
"Lamc2","LAMC2"
"Lamc1","LAMC1"
"Shcbp1l","SHCBP1L"
"Dhx9","DHX9"
"Npl","NPL"
"Rgs16","RGS16"
"Rnasel","RNASEL"
"Rgsl1","RGSL1"
"Glul","GLUL"
"Cacna1e","CACNA1E"
"Ier5","IER5"
"Mr1","MR1"
"Stx6","STX6"
"BC034090","KIAA1614"
"Xpr1","XPR1"
"Acbd6","ACBD6"
"Qsox1","QSOX1"
"Cep350","CEP350"
"Tor1aip1","TOR1AIP1"
"Tor1aip2","TOR1AIP2"
"Tdrd5","TDRD5"
"Nphs2","NPHS2"
"Axdnd1","AXDND1"
"Gm2000","RPL35"
"Soat1","SOAT1"
"Abl2","ABL2"
"Tor3a","TOR3A"
"Fam20b","FAM20B"
"Ralgps2","RALGPS2"
"Rasal2","RASAL2"
"Sec16b","SEC16B"
"Brinp2","BRINP2"
"Pappa2","PAPPA2"
"Cop1","COP1"
"Tnr","TNR"
"4930523C07Rik","KIAA0040"
"Tnn","TNN"
"Mrps14","MRPS14"
"Cacybp","CACYBP"
"Rabgap1l","RABGAP1L"
"Rc3h1","RC3H1"
"Serpinc1","SERPINC1"
"Zbtb37","ZBTB37"
"Dars2","DARS2"
"Cenpl","CENPL"
"Klhl20","KLHL20"
"Ankrd45","ANKRD45"
"Prdx6","PRDX6"
"Tnfsf18","TNFSF18"
"Fasl","FASLG"
"Suco","SUCO"
"Pigc","PIGC"
"Dnm3","DNM3"
"Eef1aknmt","METTL13"
"Vamp4","VAMP4"
"Myoc","MYOC"
"Prrc2c","PRRC2C"
"Fmo4","FMO4"
"Fmo1","FMO1"
"Fmo2","FMO2"
"Fmo3","FMO3"
"Prrx1","PRRX1"
"Gorab","GORAB"
"Kifap3","KIFAP3"
"Scyl3","SCYL3"
"BC055324","C1orf112"
"Mettl18","METTL18"
"Sell","SELL"
"Selp","SELP"
"F5","F5"
"Slc19a2","SLC19A2"
"Ccdc181","CCDC181"
"Blzf1","BLZF1"
"Nme7","NME7"
"Atp1b1","ATP1B1"
"Dpt","DPT"
"Sft2d2","SFT2D2"
"Tiprl","TIPRL"
"Gpr161","GPR161"
"Dcaf6","DCAF6"
"Mpc2","MPC2"
"Mpzl1","MPZL1"
"Rcsd1","RCSD1"
"Creg1","CREG1"
"Cd247","CD247"
"Pou2f1","POU2F1"
"Dusp27","STYXL2"
"Gpa33","GPA33"
"Ildr2","ILDR2"
"Tada1","TADA1"
"Pogk","POGK"
"Fam78b","FAM78B"
"Uck2","UCK2"
"Tmco1","TMCO1"
"Aldh9a1","ALDH9A1"
"Mgst3","MGST3"
"Rxrg","RXRG"
"Pbx1","PBX1"
"Nuf2","NUF2"
"Rgs5","RGS5"
"Rgs4","RGS4"
"Ccdc190","CCDC190"
"Hsd17b7","HSD17B7"
"Ddr2","DDR2"
"Uap1","UAP1"
"Uhmk1","UHMK1"
"Sh2d1b1","SH2D1B"
"Nos1ap","NOS1AP"
"Olfml2b","OLFML2B"
"Atf6","ATF6"
"Dusp12","DUSP12"
"Fcrla","FCRLA"
"Cfap126","CFAP126"
"Sdhc","SDHC"
"Mpz","MPZ"
"Pcp4l1","PCP4L1"
"Tomm40l","TOMM40L"
"Apoa2","APOA2"
"Fcer1g","FCER1G"
"Ndufs2","NDUFS2"
"Adamts4","ADAMTS4"
"B4galt3","B4GALT3"
"Ppox","PPOX"
"Usp21","USP21"
"Ufc1","UFC1"
"Dedd","DEDD"
"Nit1","NIT1"
"Pfdn2","PFDN2"
"Klhdc9","KLHDC9"
"Nectin4","NECTIN4"
"Arhgap30","ARHGAP30"
"Usf1","USF1"
"Tstd1","TSTD1"
"F11r","F11R"
"Itln1","ITLN1"
"Cd244a","CD244"
"Ly9","LY9"
"Slamf7","SLAMF7"
"Cd48","CD48"
"Slamf1","SLAMF1"
"Cd84","CD84"
"Slamf6","SLAMF6"
"Vangl2","VANGL2"
"Ncstn","NCSTN"
"Copa","COPA"
"Pex19","PEX19"
"Dcaf8","DCAF8"
"Pea15a","PEA15"
"Casq1","CASQ1"
"Igsf8","IGSF8"
"Atp1a2","ATP1A2"
"Kcnj10","KCNJ10"
"Pigm","PIGM"
"Slamf9","SLAMF9"
"Igsf9","IGSF9"
"Tagln2","TAGLN2"
"Cfap45","CFAP45"
"Vsig8","VSIG8"
"Slamf8","SLAMF8"
"Dusp23","DUSP23"
"Ackr1","ACKR1"
"Cadm3","CADM3"
"Aim2","AIM2"
"Spta1","SPTA1"
"Fmn2","FMN2"
"Grem2","GREM2"
"Rgs7","RGS7"
"Fh1","FH"
"Kmo","KMO"
"Opn3","OPN3"
"Chml","CHML"
"Exo1","EXO1"
"Pld5","PLD5"
"Cep170","CEP170"
"Sdccag8","SDCCAG8"
"Akt3","AKT3"
"Zbtb18","ZBTB18"
"1700016C15Rik","C1orf100"
"Adss","ADSS2"
"Catspere2","CATSPERE"
"Desi2","DESI2"
"Cox20","COX20"
"Hnrnpu","HNRNPU"
"Efcab2","EFCAB2"
"Kif26b","KIF26B"
"Smyd3","SMYD3"
"Tfb2m","TFB2M"
"Cnst","CNST"
"Sccpdh","SCCPDH"
"Ahctf1","AHCTF1"
