"symbol_mm","symbol_hs"
"Ttc12","TTC12"
"Ncam1","NCAM1"
"Plet1","PLET1"
"Pts","PTS"
"Bco2","BCO2"
"Il18","IL18"
"Sdhd","SDHD"
"Timm8b","TIMM8B"
"Nkapd1","NKAPD1"
"Pih1d2","PIH1D2"
"Dlat","DLAT"
"Dixdc1","DIXDC1"
"2310030G06Rik","C11orf52"
"Hspb2","HSPB2"
"Cryab","CRYAB"
"1110032A03Rik","C11orf1"
"Fdxacb1","FDXACB1"
"Alg9","ALG9"
"Ppp2r1b","PPP2R1B"
"Sik2","SIK2"
"Layn","LAYN"
"Btg4","BTG4"
"Pou2af1","POU2AF1"
"Colca2","COLCA2"
"1810046K07Rik","POU2AF2"
"Arhgap20","ARHGAP20"
"Fdx1","FDX1"
"Rdx","RDX"
"Zc3h12c","ZC3H12C"
"AI593442","C11orf87"
"Ddx10","DDX10"
"Exph5","EXPH5"
"Poglut3","POGLUT3"
"4930550C14Rik","C11orf65"
"Atm","ATM"
"Npat","NPAT"
"Acat1","ACAT1"
"Cul5","CUL5"
"Rab39","RAB39A"
"Slc35f2","SLC35F2"
"Elmod1","ELMOD1"
"Tnfaip8l3","TNFAIP8L3"
"Dmxl2","DMXL2"
"Cib2","CIB2"
"Idh3a","IDH3A"
"Acsbg1","ACSBG1"
"Dnaja4","DNAJA4"
"Wdr61","WDR61"
"Crabp1","CRABP1"
"Ireb2","IREB2"
"Hykk","HYKK"
"Psma4","PSMA4"
"Chrnb4","CHRNB4"
"Ube2q2","UBE2Q2"
"Fbxo22","FBXO22"
"Nrg4","NRG4"
"Tmem266","TMEM266"
"Etfa","ETFA"
"Scaper","SCAPER"
"Rcn2","RCN2"
"Pstpip1","PSTPIP1"
"Tspan3","TSPAN3"
"Peak1","PEAK1"
"Hmg20a","HMG20A"
"Lingo1","LINGO1"
"Odf3l1","ODF3L1"
"Cspg4","CSPG4"
"Snx33","SNX33"
"Imp3","IMP3"
"Snupn","SNUPN"
"Ptpn9","PTPN9"
"Sin3a","SIN3A"
"Man2c1","MAN2C1"
"Neil1","NEIL1"
"Commd4","COMMD4"
"1700017B05Rik","C15orf39"
"Ppcdc","PPCDC"
"Scamp5","SCAMP5"
"Cox5a","COX5A"
"Fam219b","FAM219B"
"Mpi","MPI"
"Scamp2","SCAMP2"
"Ulk3","ULK3"
"Csk","CSK"
"Cyp1a1","CYP1A1"
"Edc3","EDC3"
"Clk3","CLK3"
"Arid3b","ARID3B"
"Ubl7","UBL7"
"Sema7a","SEMA7A"
"Cyp11a1","CYP11A1"
"Ccdc33","CCDC33"
"Stra6","STRA6"
"Islr","ISLR"
"Pml","PML"
"Stoml1","STOML1"
"Loxl1","LOXL1"
"Insyn1","INSYN1"
"Cd276","CD276"
"Nptn","NPTN"
"Rec114","REC114"
"Hcn4","HCN4"
"Neo1","NEO1"
"Adpgk","ADPGK"
"Bbs4","BBS4"
"Arih1","ARIH1"
"Hexa","HEXA"
"Parp6","PARP6"
"Pkm","PKM"
"Gramd2","GRAMD2A"
"Senp8","SENP8"
"Myo9a","MYO9A"
"Thsd4","THSD4"
"Lrrc49","LRRC49"
"Larp6","LARP6"
"Uaca","UACA"
"Tle3","TLE3"
"Kif23","KIF23"
"Paqr5","PAQR5"
"Glce","GLCE"
"Coro2b","CORO2B"
"Itga11","ITGA11"
"Fem1b","FEM1B"
"Cln6","CLN6"
"Calml4","CALML4"
"Pias1","PIAS1"
"Map2k5","MAP2K5"
"2300009A05Rik","C15orf61"
"Iqch","IQCH"
"Aagab","AAGAB"
"Smad3","SMAD3"
"Smad6","SMAD6"
"Lctl","LCTL"
"Zwilch","ZWILCH"
"Snapc5","SNAPC5"
"Map2k1","MAP2K1"
"Tipin","TIPIN"
"Dis3l","DIS3L"
"Megf11","MEGF11"
"Rab11a","RAB11A"
"Dennd4a","DENND4A"
"Ints14","INTS14"
"Hacd3","HACD3"
"Dpp8","DPP8"
"Igdcc4","IGDCC4"
"Parp16","PARP16"
"Cilp","CILP"
"Clpx","CLPX"
"Pdcd7","PDCD7"
"Kbtbd13","KBTBD13"
"Rasl12","RASL12"
"Mtfmt","MTFMT"
"Spg21","SPG21"
"Plekho2","PLEKHO2"
"Pif1","PIF1"
"Rbpms2","RBPMS2"
"Oaz2","OAZ2"
"Zfp609","ZNF609"
"Trip4","TRIP4"
"Pclaf","PCLAF"
"Csnk1g1","CSNK1G1"
"Ppib","PPIB"
"Snx22","SNX22"
"Snx1","SNX1"
"Ciao2a","CIAO2A"
"Dapk2","DAPK2"
"Herc1","HERC1"
"Fbxl22","FBXL22"
"Usp3","USP3"
"Car12","CA12"
"Rab8b","RAB8B"
"Lactb","LACTB"
"Tpm1","TPM1"
"Tln2","TLN2"
"Vps13c","VPS13C"
"Rora","RORA"
"Ice2","ICE2"
"Anxa2","ANXA2"
"Bnip2","BNIP2"
"Gtf2a2","GTF2A2"
"Fam81a","FAM81A"
"Myo1e","MYO1E"
"Ccnb2","CCNB2"
"Rnf111","RNF111"
"Sltm","SLTM"
"Mindy2","MINDY2"
"Adam10","ADAM10"
"Lipc","LIPC"
"Aqp9","AQP9"
"Aldh1a2","ALDH1A2"
"Polr2m","POLR2M"
"Myzap","MYZAP"
"Cgnl1","CGNL1"
"Tcf12","TCF12"
"Zfp280d","ZNF280D"
"Mns1","MNS1"
"Tex9","TEX9"
"Rfx7","RFX7"
"Nedd4","NEDD4"
"Pygo1","PYGO1"
"Dnaaf4","DNAAF4"
"Ccpg1os","PIERCE2"
"Ccpg1","CCPG1"
"Pigb","PIGB"
"Rab27a","RAB27A"
"Khdc3","KHDC3L"
"Rsl24d1","RSL24D1"
"Unc13c","UNC13C"
"Wdr72","WDR72"
"Fam214a","FAM214A"
"Myo5a","MYO5A"
"Myo5c","MYO5C"
"Gnb5","GNB5"
"Mapk6","MAPK6"
"Leo1","LEO1"
"Tmod3","TMOD3"
"Tmod2","TMOD2"
"Lysmd2","LYSMD2"
"Scg3","SCG3"
"Bmp5","BMP5"
"Hmgcll1","HMGCLL1"
"Fam83b","FAM83B"
"Tinag","TINAG"
"Mlip","MLIP"
"Lrrc1","LRRC1"
"Klhl31","KLHL31"
"Gclc","GCLC"
"Elovl5","ELOVL5"
"Fbxo9","FBXO9"
"Dppa5a","DPPA5"
"Ooep","OOEP"
"Cgas","CGAS"
"Mto1","MTO1"
"Slc17a5","SLC17A5"
"Cd109","CD109"
"Col12a1","COL12A1"
"Cox7a2","COX7A2"
"Tmem30a","TMEM30A"
"Filip1","FILIP1"
"Senp6","SENP6"
"Myo6","MYO6"
"Htr1b","HTR1B"
"Mei4","MEI4"
"Irak1bp1","IRAK1BP1"
"Phip","PHIP"
"Hmgn3","HMGN3"
"Lca5","LCA5"
"Sh3bgrl2","SH3BGRL2"
"Elovl4","ELOVL4"
"Ttk","TTK"
"Bckdhb","BCKDHB"
"Tent5a","TENT5A"
"Ibtk","IBTK"
"Tpbg","TPBG"
"Ube2cbp","UBE3D"
"Dop1a","DOP1A"
"Pgm3","PGM3"
"Rwdd2a","RWDD2A"
"Me1","ME1"
"Prss35","PRSS35"
"Snap91","SNAP91"
"Cyb5r4","CYB5R4"
"Cep162","CEP162"
"Tbx18","TBX18"
"Nt5e","NT5E"
"Snx14","SNX14"
"Syncrip","SYNCRIP"
"Tmed3","TMED3"
"Rasgrf1","RASGRF1"
"Ctsh","CTSH"
"Morf4l1","MORF4L1"
"Adamts7","ADAMTS7"
"Tbc1d2b","TBC1D2B"
"Plscr4","PLSCR4"
"Plod2","PLOD2"
"Dipk2a","DIPK2A"
"Slc9a9","SLC9A9"
"Chst2","CHST2"
"U2surp","U2SURP"
"Paqr9","PAQR9"
"Pcolce2","PCOLCE2"
"Trpc1","TRPC1"
"Pls1","PLS1"
"Atr","ATR"
"Xrn1","XRN1"
"Gk5","GK5"
"Tfdp2","TFDP2"
"Atp1b3","ATP1B3"
"Rnf7","RNF7"
"Rasa2","RASA2"
"Zbtb38","ZBTB38"
"Pxylp1","PXYLP1"
"Spsb4","SPSB4"
"Slc25a36","SLC25A36"
"Clstn2","CLSTN2"
"Nmnat3","NMNAT3"
"Rbp1","RBP1"
"Rbp2","RBP2"
"Copb2","COPB2"
"Mrps22","MRPS22"
"Faim","FAIM"
"Pik3cb","PIK3CB"
"Cep70","CEP70"
"Esyt3","ESYT3"
"Mras","MRAS"
"Nme9","NME9"
"Armc8","ARMC8"
"Dbr1","DBR1"
"Dzip1l","DZIP1L"
"Cldn18","CLDN18"
"Il20rb","IL20RB"
"Nck1","NCK1"
"Slc35g2","SLC35G2"
"Stag1","STAG1"
"Pccb","PCCB"
"Msl2","MSL2"
"Ppp2r3a","PPP2R3A"
"Ephb1","EPHB1"
"Ky","KY"
"Cep63","CEP63"
"Anapc13","ANAPC13"
"Amotl2","AMOTL2"
"Ryk","RYK"
"Slco2a1","SLCO2A1"
"Rab6b","RAB6B"
"Srprb","SRPRB"
"Trf","TF"
"Topbp1","TOPBP1"
"Cdv3","CDV3"
"Bfsp2","BFSP2"
"Tmem108","TMEM108"
"Nphp3","NPHP3"
"Uba5","UBA5"
"Acad11","ACAD11"
"Ackr4","ACKR4"
"Dnajc13","DNAJC13"
"Acpp","ACP3"
"Cpne4","CPNE4"
"Mrpl3","MRPL3"
"Nudt16","NUDT16"
"Nek11","NEK11"
"Aste1","ASTE1"
"Atp2c1","ATP2C1"
"Pik3r4","PIK3R4"
"Col6a6","COL6A6"
"Col6a5","COL6A5"
"Glyctk","GLYCTK"
"Wdr82","WDR82"
"Ppm1m","PPM1M"
"Twf2","TWF2"
"Alas1","ALAS1"
"Poc1a","POC1A"
"Dusp7","DUSP7"
"Acy1","ACY1"
"Abhd14a","ABHD14A"
"Abhd14b","ABHD14B"
"Pcbp4","PCBP4"
"Parp3","PARP3"
"Rrp9","RRP9"
"Tex264","TEX264"
"Rad54l2","RAD54L2"
"Dcaf1","DCAF1"
"Manf","MANF"
"Rbm15b","RBM15B"
"Dock3","DOCK3"
"Mapkapk3","MAPKAPK3"
"Cish","CISH"
"Hemk1","HEMK1"
"6430571L13Rik","C3orf18"
"Cacna2d2","CACNA2D2"
"Tmem115","TMEM115"
"Cyb561d2","CYB561D2"
"Nprl2","NPRL2"
"Zmynd10","ZMYND10"
"Rassf1","RASSF1"
"Tusc2","TUSC2"
"Hyal2","HYAL2"
"Hyal1","HYAL1"
"Naa80","NAA80"
"Hyal3","HYAL3"
"Ifrd2","IFRD2"
"Lsmem2","LSMEM2"
"Sema3b","SEMA3B"
"Gnai2","GNAI2"
"Sema3f","SEMA3F"
"Rbm5","RBM5"
"Rbm6","RBM6"
"Mon1a","MON1A"
"Mst1r","MST1R"
"Traip","TRAIP"
"Uba7","UBA7"
"Inka1","INKA1"
"Cdhr4","CDHR4"
"Ip6k1","IP6K1"
"Gmppb","GMPPB"
"Rnf123","RNF123"
"Amigo3","AMIGO3"
"Mst1","MST1"
"Apeh","APEH"
"Bsn","BSN"
"Dag1","DAG1"
"Nicn1","NICN1"
"Amt","AMT"
"Tcta","TCTA"
"Rhoa","RHOA"
"Gpx1","GPX1"
"Usp4","USP4"
"1700102P08Rik","C3orf62"
"Klhdc8b","KLHDC8B"
"Ccdc71","CCDC71"
"Lamb2","LAMB2"
"Usp19","USP19"
"Qars","QARS1"
"Qrich1","QRICH1"
"Impdh2","IMPDH2"
"Ndufaf3","NDUFAF3"
"Dalrd3","DALRD3"
"Wdr6","WDR6"
"P4htm","P4HTM"
"Arih2","ARIH2"
"Slc25a20","SLC25A20"
"Prkar2a","PRKAR2A"
"Ip6k2","IP6K2"
"Nckipsd","NCKIPSD"
"Celsr3","CELSR3"
"Slc26a6","SLC26A6"
"Uqcrc1","UQCRC1"
"Ucn2","UCN2"
"Pfkfb4","PFKFB4"
"Shisa5","SHISA5"
"Atrip","ATRIP"
"Tma7","TMA7"
"Ccdc51","CCDC51"
"Plxnb1","PLXNB1"
"Nme6","NME6"
"Camp","CAMP"
"Cdc25a","CDC25A"
"Map4","MAP4"
"Dhx30","DHX30"
"Smarcc1","SMARCC1"
"Cspg5","CSPG5"
"Elp6","ELP6"
"Scap","SCAP"
"Ptpn23","PTPN23"
"Klhl18","KLHL18"
"Kif9","KIF9"
"Setd2","SETD2"
"Nbeal2","NBEAL2"
"Ccdc12","CCDC12"
"Pth1r","PTH1R"
"Myl3","MYL3"
"Tmie","TMIE"
"Als2cl","ALS2CL"
"Lrrc2","LRRC2"
"Rtp3","RTP3"
"Ltf","LTF"
"Ccrl2","CCRL2"
"Lrrfip2","LRRFIP2"
"Mlh1","MLH1"
"Epm2aip1","EPM2AIP1"
"Dclk3","DCLK3"
"Stac","STAC"
"Clasp2","CLASP2"
"Ubp1","UBP1"
"Fbxl2","FBXL2"
"Susd5","SUSD5"
"Crtap","CRTAP"
"Glb1","GLB1"
"Ccr4","CCR4"
"Trim71","TRIM71"
"Cnot10","CNOT10"
"Dync1li1","DYNC1LI1"
"Cmtm6","CMTM6"
"Cmtm7","CMTM7"
"Cmtm8","CMTM8"
"Gpd1l","GPD1L"
"Osbpl10","OSBPL10"
"Stt3b","STT3B"
"Tgfbr2","TGFBR2"
"Rbms3","RBMS3"
"Zcwpw2","ZCWPW2"
"Azi2","AZI2"
"Cmc1","CMC1"
"Eomes","EOMES"
"Golga4","GOLGA4"
"Itga9","ITGA9"
"Ctdspl","CTDSPL"
"Vill","VILL"
"Plcd1","PLCD1"
"Dlec1","DLEC1"
"Slc22a14","SLC22A14"
"Oxsr1","OXSR1"
"Myd88","MYD88"
"Xylb","XYLB"
"Acvr2b","ACVR2B"
"Exog","EXOG"
"Scn5a","SCN5A"
"Wdr48","WDR48"
"Cx3cr1","CX3CR1"
"Gorasp1","GORASP1"
"Ttc21a","TTC21A"
"Csrnp1","CSRNP1"
"Xirp1","XIRP1"
"Slc25a38","SLC25A38"
"Myrip","MYRIP"
"Eif1b","EIF1B"
"Entpd3","ENTPD3"
"Ctnnb1","CTNNB1"
"Ulk4","ULK4"
"Trak1","TRAK1"
"Cck","CCK"
"Lyzl4","LYZL4"
"Vipr1","VIPR1"
"Sec22c","SEC22C"
"Ss18l2","SS18L2"
"Nktr","NKTR"
"Zfp651","ZBTB47"
"Hhatl","HHATL"
"Ccdc13","CCDC13"
"Higd1a","HIGD1A"
"Ackr2","ACKR2"
"Cyp8b1","CYP8B1"
"Gask1a","GASK1A"
"Pomgnt2","POMGNT2"
"Snrk","SNRK"
"Ano10","ANO10"
"Abhd5","ABHD5"
"Topaz1","TOPAZ1"
"Tcaim","TCAIM"
"Zfp445","ZNF445"
"Zkscan7","ZKSCAN7"
"Zfp105","ZNF35"
"1110059G10Rik","KIAA1143"
"Kif15","KIF15"
"Tmem42","TMEM42"
"Tgm4","TGM4"
"Zdhhc3","ZDHHC3"
"Exosc7","EXOSC7"
"Clec3b","CLEC3B"
"Cdcp1","CDCP1"
"Tmem158","TMEM158"
"Lars2","LARS2"
"Limd1","LIMD1"
"Sacm1l","SACM1L"
"Ccr9","CCR9"
"Lztfl1","LZTFL1"
"Fyco1","FYCO1"
"Cxcr6","CXCR6"
"Xcr1","XCR1"
"Ccr1","CCR1"
"Ccr3","CCR3"
"Ccr2","CCR2"
"Ccr5","CCR5"
"Ppp1r14c","PPP1R14C"
"Iyd","IYD"
"Plekhg1","PLEKHG1"
"Mthfd1l","MTHFD1L"
"Akap12","AKAP12"
"Zbtb2","ZBTB2"
"Rmnd1","RMND1"
"Armt1","ARMT1"
"Ccdc170","CCDC170"
"Esr1","ESR1"
"Syne1","SYNE1"
"Myct1","MYCT1"
"Vip","VIP"
"Fbxo5","FBXO5"
"Mtrf1l","MTRF1L"
"Rgs17","RGS17"
"Ipcef1","IPCEF1"
"Cnksr3","CNKSR3"
"Lrp11","LRP11"
"Pcmt1","PCMT1"
"Nup43","NUP43"
"Lats1","LATS1"
"Katna1","KATNA1"
"Ginm1","GINM1"
"Ppil4","PPIL4"
"Zc3h12d","ZC3H12D"
"Tab2","TAB2"
"Ust","UST"
"Sash1","SASH1"
"Samd5","SAMD5"
"Stxbp5","STXBP5"
"Adgb","ADGB"
"Shprh","SHPRH"
"Fbxo30","FBXO30"
"Epm2a","EPM2A"
"Utrn","UTRN"
"Stx11","STX11"
"Sf3b5","SF3B5"
"Plagl1","PLAGL1"
"Ltv1","LTV1"
"Phactr2","PHACTR2"
"Fuca2","FUCA2"
"Pex3","PEX3"
"Adat2","ADAT2"
"Aig1","AIG1"
"Hivep2","HIVEP2"
"Adgrg6","ADGRG6"
"Vta1","VTA1"
"Cited2","CITED2"
"Txlnb","TXLNB"
"Heca","HECA"
"Abracl","ABRACL"
"Reps1","REPS1"
"Ect2l","ECT2L"
"Ccdc28a","CCDC28A"
"Nhsl1","NHSL1"
"Hebp2","HEBP2"
"Arfgef3","ARFGEF3"
"Perp","PERP"
"Tnfaip3","TNFAIP3"
"Olig3","OLIG3"
"Ifngr1","IFNGR1"
"Il22ra2","IL22RA2"
"Slc35d3","SLC35D3"
"Pex7","PEX7"
"Map3k5","MAP3K5"
"Map7","MAP7"
"Bclaf1","BCLAF1"
"Mtfr2","MTFR2"
"Pde7b","PDE7B"
"Ahi1","AHI1"
"Myb","MYB"
"Hbs1l","HBS1L"
"Sgk1","SGK1"
"Slc2a12","SLC2A12"
"Tbpl1","TBPL1"
"Tcf21","TCF21"
"Eya4","EYA4"
"Slc18b1","SLC18B1"
"Vnn1","VNN1"
"Stx7","STX7"
"Moxd1","MOXD1"
"Ccn2","CCN2"
"Enpp1","ENPP1"
"Enpp3","ENPP3"
"Med23","MED23"
"Arg1","ARG1"
"Akap7","AKAP7"
"Epb41l2","EPB41L2"
"Tmem200a","TMEM200A"
"Samd3","SAMD3"
"L3mbtl3","L3MBTL3"
"Arhgap18","ARHGAP18"
"Lama2","LAMA2"
"Ptprk","PTPRK"
"Themis","THEMIS"
"9330159F19Rik","KIAA0408"
"Echdc1","ECHDC1"
"Rnf146","RNF146"
"Rspo3","RSPO3"
"Cenpw","CENPW"
"Trmt11","TRMT11"
"Hint3","HINT3"
"Ncoa7","NCOA7"
"Hey2","HEY2"
"Hddc2","HDDC2"
"Tpd52l1","TPD52L1"
"Rnf217","RNF217"
"Trdn","TRDN"
"Rsph4a","RSPH4A"
"Zup1","ZUP1"
"Rwdd1","RWDD1"
"Calhm5","CALHM5"
"Calhm6","CALHM6"
"Dse","DSE"
"Tspyl1","TSPYL1"
"Nt5dc1","NT5DC1"
"Tspyl4","TSPYL4"
"Frk","FRK"
"Hdac2","HDAC2"
"Marcks","MARCKS"
"Lama4","LAMA4"
"Fam229b","FAM229B"
"Tube1","TUBE1"
"Fyn","FYN"
"Traf3ip2","TRAF3IP2"
"Rev3l","REV3L"
"Slc16a10","SLC16A10"
"Rpf2","RPF2"
"Gtf3c6","GTF3C6"
"Cdk19","CDK19"
"Ddo","DDO"
"Mettl24","METTL24"
"Cdc40","CDC40"
"Wasf1","WASF1"
"Fig4","FIG4"
"Ak9","AK9"
"Zbtb24","ZBTB24"
"Mical1","MICAL1"
"Smpd2","SMPD2"
"Ppil6","PPIL6"
"Cd164","CD164"
"Cep57l1","CEP57L1"
"Sesn1","SESN1"
"Armc2","ARMC2"
"Foxo3","FOXO3"
"Afg1l","AFG1L"
"Snx3","SNX3"
"Ostm1","OSTM1"
"Sec63","SEC63"
"Scml4","SCML4"
"Sobp","SOBP"
"Pdss2","PDSS2"
"Bend3","BEND3"
"Cd24a","CD24"
"Qrsl1","QRSL1"
"Rtn4ip1","RTN4IP1"
"Crybg1","CRYBG1"
"Atg5","ATG5"
"Prdm1","PRDM1"
"Prep","PREP"
"Popdc3","POPDC3"
"Bves","BVES"
"Hace1","HACE1"
"Grik2","GRIK2"
"Ascc3","ASCC3"
"Lilrb4a","LAIR2"
"Fam162b","FAM162B"
"Gprc6a","GPRC6A"
"Ros1","ROS1"
"Dcbld1","DCBLD1"
"Gopc","GOPC"
"Nus1","NUS1"
"Slc35f1","SLC35F1"
"Cep85l","CEP85L"
"Pln","PLN"
"Mcm9","MCM9"
"Asf1a","ASF1A"
"Fam184a","FAM184A"
"Man1a","MAN1A1"
"Tbc1d32","TBC1D32"
"Hsf2","HSF2"
"Serinc1","SERINC1"
"Pkib","PKIB"
"Fabp7","FABP7"
"Smpdl3a","SMPDL3A"
"Gcc2","GCC2"
"Ranbp2","RANBP2"
"Ccdc138","CCDC138"
"Edar","EDAR"
"Sh3rf3","SH3RF3"
"Sowahc","SOWAHC"
"P4ha1","P4HA1"
"Pla2g12b","PLA2G12B"
"Oit3","OIT3"
"Mcu","MCU"
"Micu1","MICU1"
"Dnajb12","DNAJB12"
"Ddit4","DDIT4"
"Anapc16","ANAPC16"
"Ascc1","ASCC1"
"Spock2","SPOCK2"
"Chst3","CHST3"
"Psap","PSAP"
"Cdh23","CDH23"
"Vsir","VSIR"
"Gm17455","C10orf105"
"Slc29a3","SLC29A3"
"Unc5b","UNC5B"
"Pcbd1","PCBD1"
"Sgpl1","SGPL1"
"Tbata","TBATA"
"Adamts14","ADAMTS14"
"Prf1","PRF1"
"Pald1","PALD1"
"Eif4ebp2","EIF4EBP2"
"Lrrc20","LRRC20"
"Ppa1","PPA1"
"Sar1a","SAR1A"
"Tysnd1","TYSND1"
"Aifm2","AIFM2"
"Col13a1","COL13A1"
"Tspan15","TSPAN15"
"Hk1","HK1"
"Hkdc1","HKDC1"
"Supv3l1","SUPV3L1"
"Vps26a","VPS26A"
"Srgn","SRGN"
"Ddx21","DDX21"
"Ddx50","DDX50"
"Stox1","STOX1"
"Ccar1","CCAR1"
"Tet1","TET1"
"Slc25a16","SLC25A16"
"Dna2","DNA2"
"Rufy2","RUFY2"
"Hnrnph3","HNRNPH3"
"Mypn","MYPN"
"Herc4","HERC4"
"Sirt1","SIRT1"
"Dnajc12","DNAJC12"
"Ctnna3","CTNNA3"
"Reep3","REEP3"
"Jmjd1c","JMJD1C"
"Nrbf2","NRBF2"
"Egr2","EGR2"
"Ado","ADO"
"Zfp365","ZNF365"
"Rtkn2","RTKN2"
"Arid5b","ARID5B"
"Cabcoco1","CABCOCO1"
"Tmem26","TMEM26"
"Rhobtb1","RHOBTB1"
"Cdk1","CDK1"
"Ank3","ANK3"
"Ccdc6","CCDC6"
"Mrln","MRLN"
"Slc16a9","SLC16A9"
"Fam13c","FAM13C"
"Phyhipl","PHYHIPL"
"Bicc1","BICC1"
"Tfam","TFAM"
"Ube2d1","UBE2D1"
"Cisd1","CISD1"
"Ipmk","IPMK"
"Zwint","ZWINT"
"Rsph14","RSPH14"
"Gnaz","GNAZ"
"Rab36","RAB36"
"Bcr","BCR"
"Specc1l","SPECC1L"
"Adora2a","ADORA2A"
"Gucd1","GUCD1"
"Upb1","UPB1"
"Snrpd3","SNRPD3"
"Lrrc75b","LRRC75B"
"Ggt5","GGT5"
"Susd2","SUSD2"
"Cabin1","CABIN1"
"Mif","MIF"
"Derl3","DERL3"
"Smarcb1","SMARCB1"
"Mmp11","MMP11"
"Chchd10","CHCHD10"
"Gm867","C22orf15"
"Vpreb3","VPREB3"
"Zfp280b","ZNF280B"
"Prmt2","PRMT2"
"S100b","S100B"
"Dip2a","DIP2A"
"Pcnt","PCNT"
"2610028H24Rik","C21orf58"
"Ybey","YBEY"
"Mcm3ap","MCM3AP"
"Lss","LSS"
"Spatc1l","SPATC1L"
"Col6a2","COL6A2"
"Col6a1","COL6A1"
"Pcbp3","PCBP3"
"Slc19a1","SLC19A1"
"Col18a1","COL18A1"
"Pofut2","POFUT2"
"Adarb1","ADARB1"
"Fam207a","SLX9"
"Itgb2","ITGB2"
"Pttg1ip","PTTG1IP"
"Sumo3","SUMO3"
"Ube2g2","UBE2G2"
"Lrrc3","LRRC3"
"Trpm2","TRPM2"
"Cfap410","CFAP410"
"Pfkl","PFKL"
"Aire","AIRE"
"Dnmt3l","DNMT3L"
"Icosl","ICOSLG"
"Gatd3a","GATD3"
"Pwp2","PWP2"
"Trappc10","TRAPPC10"
"Agpat3","AGPAT3"
"Rrp1","RRP1"
"Cstb","CSTB"
"Pdxk","PDXK"
"Ilvbl","ILVBL"
"Syde1","SYDE1"
"Slc1a6","SLC1A6"
"Plpp2","PLPP2"
"Mier2","MIER2"
"Madcam1","MADCAM1"
"Tpgs1","TPGS1"
"Cdc34","CDC34"
"Gzmm","GZMM"
"Bsg","BSG"
"Hcn2","HCN2"
"Polrmt","POLRMT"
"Rnf126","RNF126"
"Fstl3","FSTL3"
"Prss57","PRSS57"
"Palm","PALM"
"Misp","MISP"
"Ptbp1","PTBP1"
"Plppr3","PLPPR3"
"Prtn3","PRTN3"
"Cfd","CFD"
"Med16","MED16"
"R3hdm4","R3HDM4"
"Kiss1r","KISS1R"
"Arid3a","ARID3A"
"Wdr18","WDR18"
"Tmem259","TMEM259"
"Cnn2","CNN2"
"Abca7","ABCA7"
"Arhgap45","ARHGAP45"
"Polr2e","POLR2E"
"Gpx4","GPX4"
"Sbno2","SBNO2"
"Stk11","STK11"
"Cbarp","CBARP"
"Atp5d","ATP5F1D"
"Midn","MIDN"
"Cirbp","CIRBP"
"Efna2","EFNA2"
"Pwwp3a","PWWP3A"
"Ndufs7","NDUFS7"
"Gamt","GAMT"
"Dazap1","DAZAP1"
"Apc2","APC2"
"2310011J03Rik","C19orf25"
"Pcsk4","PCSK4"
"Adamtsl5","ADAMTSL5"
"Plk5","PLK5"
"Mex3d","MEX3D"
"Mbd3","MBD3"
"Uqcr11","UQCR11"
"Tcf3","TCF3"
"Rexo1","REXO1"
"Klf16","KLF16"
"Abhd17a","ABHD17A"
"Gm49322","ADAT3"
"Csnk1g2","CSNK1G2"
"Btbd2","BTBD2"
"Mknk2","MKNK2"
"Mob3a","MOB3A"
"Izumo4","IZUMO4"
"Ap3d1","AP3D1"
"Dot1l","DOT1L"
"Plekhj1","PLEKHJ1"
"Sf3a2","SF3A2"
"Jsrp1","JSRP1"
"Oaz1","OAZ1"
"Lsm7","LSM7"
"Sppl2b","SPPL2B"
"Timm13","TIMM13"
"Lmnb2","LMNB2"
"Gadd45b","GADD45B"
"Gng7","GNG7"
"Slc39a3","SLC39A3"
"Sgta","SGTA"
"Thop1","THOP1"
"Creb3l3","CREB3L3"
"Map2k2","MAP2K2"
"Zbtb7a","ZBTB7A"
"Pias4","PIAS4"
"Eef2","EEF2"
"Dapk3","DAPK3"
"Zfr2","ZFR2"
"Matk","MATK"
"Mrpl54","MRPL54"
"Apba3","APBA3"
"Tjp3","TJP3"
"Pip5k1c","PIP5K1C"
"Cactin","CACTIN"
"Tbxa2r","TBXA2R"
"Gipc3","GIPC3"
"Hmg20b","HMG20B"
"Mfsd12","MFSD12"
"4930404N11Rik","TEKTIP1"
"Fzr1","FZR1"
"Dohh","DOHH"
"Gm48552","SMIM44"
"Smim24","SMIM24"
"Nfic","NFIC"
"Celf5","CELF5"
"Ncln","NCLN"
"S1pr4","S1PR4"
"Gna15","GNA15"
"Gna11","GNA11"
"Tle5","TLE5"
"Tle2","TLE2"
"Tle6","TLE6"
"BC025920","ZNF77"
"Sirt6","SIRT6"
"Ankrd24","ANKRD24"
"Tdg","TDG"
"Glt8d2","GLT8D2"
"Hcfc2","HCFC2"
"Nfyb","NFYB"
"Txnrd1","TXNRD1"
"Chst11","CHST11"
"Slc41a2","SLC41A2"
"Aldh1l2","ALDH1L2"
"Washc4","WASHC4"
"Appl2","APPL2"
"1500009L16Rik","C12orf75"
"Nuak1","NUAK1"
"Ckap4","CKAP4"
"Tcp11l2","TCP11L2"
"Polr3b","POLR3B"
"Rfx4","RFX4"
"Ric8b","RIC8B"
"Fhl4","FHL1"
"Tmem263","TMEM263"
"Mterf2","MTERF2"
"Cry1","CRY1"
"Btbd11","ABTB3"
"Pwp1","PWP1"
